community,province,year,party,votes,pct,seats
1,23,2016,Votantes,375082,70.5,
1,23,2016,Nulos,4320,,
1,23,2016,V&aacute;lidos,370762,,
1,23,2016,Blancos,2545,,
1,23,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),138612,37.4,2
1,23,2016,Partido Popular (PP),131234,35.4,2
1,23,2016,Unidos Podemos (PODEMOS-IU-EQUO),53239,14.4,1
1,23,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),38884,10.5,0
1,23,2016,Partido Animalista Contra el Maltrato Animal (PACMA),3238,0.9,0
1,23,2016,Vox (VOX),638,0.2,0
1,23,2016,Uni&oacute;n Progreso y Democracia (UPyD),589,0.2,0
1,23,2016,Recortes Cero-Grupo Verde,455,0.1,0
1,23,2016,Otros,1328,0.4,0
8,24,2016,Censo,440263,,
8,24,2016,Votantes,284076,64.5,
8,24,2016,Nulos,3218,,
8,24,2016,V&aacute;lidos,280858,,
8,24,2016,Blancos,2397,,
8,24,2016,Partido Popular (PP),112723,40.1,2
8,24,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),73681,26.2,1
8,24,2016,Unidos Podemos (PODEMOS-IU-EQUO),49484,17.6,1
8,24,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),35870,12.8,0
8,24,2016,Partido Animalista Contra el Maltrato Animal (PACMA),2184,0.8,0
8,24,2016,Vox (VOX),620,0.2,0
8,24,2016,Uni&oacute;n Progreso y Democracia (UPyD),618,0.2,0
8,24,2016,Recortes Cero-Grupo Verde,430,0.2,0
8,24,2016,Otros,2851,1,0
9,25,2016,Censo,313207,,
9,25,2016,Votantes,182909,58.4,
9,25,2016,Nulos,1750,,
9,25,2016,V&aacute;lidos,181159,,
9,25,2016,Blancos,2156,,
9,25,2016,Esquerra Republicana de Catalunya-Catalunya S&iacute; (ERC-CATS&Iacute;),45525,25.1,1
9,25,2016,Converg&egrave;ncia Democr&agrave;tica de Catalunya (CDC),40985,22.6,1
9,25,2016,En Com&uacute; Podem (ECP),30182,16.7,1
9,25,2016,Partido Popular (PP),24503,13.5,1
9,25,2016,Partit dels Socialistes de Catalunya (PSC-PSOE),22533,12.4,0
9,25,2016,Ciutadans-Partido de la Ciudadan&iacute;a (C's),12592,7,0
9,25,2016,Partido Animalista Contra el Maltrato Animal (PACMA),1930,1.1,0
9,25,2016,Recortes Cero-Grupo Verde,288,0.2,0
9,25,2016,Vox (VOX),198,0.1,0
9,25,2016,Otros,267,0.1,0
16,26,2016,Censo,247670,,
16,26,2016,Votantes,174913,70.6,
16,26,2016,Nulos,1931,,
16,26,2016,V&aacute;lidos,172982,,
16,26,2016,Blancos,1225,,
16,26,2016,Partido Popular (PP),73708,42.6,2
16,26,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),42010,24.3,1
16,26,2016,Unidos Podemos (PODEMOS-IU-EQUO),28772,16.6,1
16,26,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),24180,14,0
16,26,2016,Partido Animalista Contra el Maltrato Animal (PACMA),1350,0.8,0
16,26,2016,Uni&oacute;n Progreso y Democracia (UPyD),425,0.2,0
16,26,2016,Vox (VOX),366,0.2,0
16,26,2016,Recortes Cero-Grupo Verde,312,0.2,0
16,26,2016,Otros,634,0.4,0
11,27,2016,Censo,348561,,
11,27,2016,Votantes,196272,56.3,
11,27,2016,Nulos,3315,,
11,27,2016,V&aacute;lidos,192957,,
11,27,2016,Blancos,2088,,
11,27,2016,Partido Popular (PP),91516,47.4,2
11,27,2016,Partido dos Socialistas de Galicia-PSOE (PSdeG-PSOE),45796,23.7,1
11,27,2016,En Marea (PODEMOS-EN MAREA-ANOVA-EU),32752,17,1
11,27,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),13343,6.9,0
11,27,2016,N&oacute;s-Candidatura Galega (BNG-N&Oacute;S),5009,2.6,0
11,27,2016,Partido Animalista Contra el Maltrato Animal (PACMA),1939,1,0
11,27,2016,Recortes Cero-Grupo Verde,514,0.3,0
12,28,2016,Censo,4927932,,
12,28,2016,Votantes,3489376,70.8,
12,28,2016,Nulos,23581,,
12,28,2016,V&aacute;lidos,3465795,,
12,28,2016,Blancos,18137,,
12,28,2016,Partido Popular (PP),1325665,38.2,15
12,28,2016,Unidos Podemos (PODEMOS-IU-EQUO),737885,21.3,8
12,28,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),678340,19.6,7
12,28,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),616503,17.8,6
12,28,2016,Partido Animalista Contra el Maltrato Animal (PACMA),39117,1.1,0
12,28,2016,Vox (VOX),16803,0.5,0
12,28,2016,Uni&oacute;n Progreso y Democracia (UPyD),14659,0.4,0
12,28,2016,Recortes Cero-Grupo Verde,7377,0.2,0
12,28,2016,Otros,11309,0.3,0
1,29,2016,Censo,1163657,,
1,29,2016,Votantes,752086,64.6,
1,29,2016,Nulos,7228,,
1,29,2016,V&aacute;lidos,744858,,
1,29,2016,Blancos,6178,,
1,29,2016,Partido Popular (PP),256033,34.4,4
1,29,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),201444,27,3
1,29,2016,Unidos Podemos (PODEMOS-IU-EQUO),140829,18.9,2
1,29,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),121294,16.3,2
1,29,2016,Partido Animalista Contra el Maltrato Animal (PACMA),11523,1.5,0
1,29,2016,Uni&oacute;n Progreso y Democracia (UPyD),1832,0.2,0
1,29,2016,Vox (VOX),1770,0.2,0
1,29,2016,Recortes Cero-Grupo Verde,1461,0.2,0
1,29,2016,Otros,2494,0.3,0
15,30,2016,Censo,1034075,,
15,30,2016,Votantes,719536,69.6,
15,30,2016,Nulos,5944,,
15,30,2016,V&aacute;lidos,713592,,
15,30,2016,Blancos,3713,,
15,30,2016,Partido Popular (PP),333109,46.7,5
15,30,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),144937,20.3,2
15,30,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),111961,15.7,2
15,30,2016,Unidos Podemos (PODEMOS-IU-EQUO),103522,14.5,1
15,30,2016,Partido Animalista Contra el Maltrato Animal (PACMA),8209,1.2,0
15,30,2016,Vox (VOX),2622,0.4,0
15,30,2016,Uni&oacute;n Progreso y Democracia (UPyD),2083,0.3,0
15,30,2016,Recortes Cero-Grupo Verde,1305,0.2,0
15,30,2016,Otros,2131,0.3,0
13,31,2016,Censo,502530,,
13,31,2016,Votantes,338720,67.4,
13,31,2016,Nulos,3385,,
13,31,2016,V&aacute;lidos,335335,,
13,31,2016,Blancos,3468,,
13,31,2016,Uni&oacute;n del Pueblo Navarro-Partido Popular (UPN-PP),106976,31.9,2
13,31,2016,Unidos Podemos-Elkarrekin Ahal Dugu (PODEMOS-IU-EQUO-BATZARRE),94972,28.3,2
13,31,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),58173,17.3,1
13,31,2016,Euskal Herria Bildu (EH Bildu),31374,9.4,0
13,31,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),20505,6.1,0
13,31,2016,Partido Animalista Contra el Maltrato Animal (PACMA),2757,0.8,0
13,31,2016,Recortes Cero-Grupo Verde,1089,0.3,0
13,31,2016,Uni&oacute;n Progreso y Democracia (UPyD),591,0.2,0
13,31,2016,Otros,15430,4.6,0
11,32,2016,Censo,364469,,
11,32,2016,Votantes,188562,51.7,
11,32,2016,Nulos,2385,,
11,32,2016,V&aacute;lidos,186177,,
11,32,2016,Blancos,1527,,
11,32,2016,Partido Popular (PP),92539,49.7,3
11,32,2016,Partido dos Socialistas de Galicia-PSOE (PSdeG-PSOE),43429,23.3,1
11,32,2016,En Marea (PODEMOS-EN MAREA-ANOVA-EU),29136,15.6,0
11,32,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),13133,7.1,0
11,32,2016,N&oacute;s-Candidatura Galega (BNG-N&Oacute;S),4107,2.2,0
11,32,2016,Partido Animalista Contra el Maltrato Animal (PACMA),1671,0.9,0
11,32,2016,Recortes Cero-Grupo Verde,417,0.2,0
11,32,2016,Otros,218,0.1,0
3,33,2016,Censo,982837,,
3,33,2016,Votantes,600463,61.1,
3,33,2016,Nulos,5764,,
3,33,2016,V&aacute;lidos,594699,,
3,33,2016,Blancos,5374,,
3,33,2016,Partido Popular-Foro Asturias (PP-FORO),209632,35.3,3
3,33,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),147920,24.9,2
3,33,2016,Unidos Podemos (PODEMOS-IU-EQUO),141845,23.9,2
3,33,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),74961,12.6,1
3,33,2016,Partido Animalista Contra el Maltrato Animal (PACMA),6398,1.1,0
3,33,2016,Vox (VOX),1442,0.2,0
3,33,2016,Uni&oacute;n Progreso y Democracia (UPyD),1391,0.2,0
3,33,2016,Recortes Cero-Grupo Verde,1086,0.2,0
3,33,2016,Otros,4650,0.8,0
8,34,2016,Censo,143769,,
8,34,2016,Votantes,101838,70.8,
8,34,2016,Nulos,1212,,
8,34,2016,V&aacute;lidos,100626,,
8,34,2016,Blancos,838,,
8,34,2016,Partido Popular (PP),45965,45.7,2
8,34,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),24751,24.6,1
8,34,2016,Unidos Podemos (PODEMOS-IU-EQUO),15077,15,0
8,34,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),12428,12.4,0
8,34,2016,Partido Animalista Contra el Maltrato Animal (PACMA),761,0.8,0
8,34,2016,Uni&oacute;n Progreso y Democracia (UPyD),273,0.3,0
8,34,2016,Recortes Cero-Grupo Verde,202,0.2,0
8,34,2016,Otros,331,0.3,0
5,35,2016,Censo,842916,,
5,35,2016,Votantes,508957,60.4,
5,35,2016,Nulos,6451,,
5,35,2016,V&aacute;lidos,502506,,
5,35,2016,Blancos,3502,,
5,35,2016,Partido Popular (PP),170316,33.9,3
5,35,2016,Partido Socialista Obrero Espa&ntilde;ol-Nueva Canarias (PSOE-NCa),119351,23.8,2
5,35,2016,Unidos Podemos (PODEMOS-IU-EQUO),113256,22.5,2
5,35,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),65172,13,1
5,35,2016,Coalici&oacute;n Canaria-Partido Nacionalista Canario (CCa-PNC),17982,3.6,0
5,35,2016,Partido Animalista Contra el Maltrato Animal (PACMA),6730,1.3,0
5,35,2016,Recortes Cero-Grupo Verde,1552,0.3,0
5,35,2016,Uni&oacute;n Progreso y Democracia (UPyD),978,0.2,0
5,35,2016,Vox (VOX),882,0.2,0
5,35,2016,Otros,2785,0.6,0
11,36,2016,Censo,901233,,
11,36,2016,Votantes,551762,61.2,
11,36,2016,Nulos,7089,,
11,36,2016,V&aacute;lidos,544673,,
11,36,2016,Blancos,4418,,
11,36,2016,Partido Popular (PP),208921,38.4,3
11,36,2016,En Marea (PODEMOS-EN MAREA-ANOVA-EU),137088,25.2,2
11,36,2016,Partido dos Socialistas de Galicia-PSOE (PSdeG-PSOE),118816,21.8,2
11,36,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),48302,8.9,0
11,36,2016,N&oacute;s-Candidatura Galega (BNG-N&Oacute;S),16793,3.1,0
11,36,2016,Partido Animalista Contra el Maltrato Animal (PACMA),6497,1.2,0
11,36,2016,Recortes Cero-Grupo Verde,1360,0.2,0
11,36,2016,Uni&oacute;n Progreso y Democracia (UPyD),975,0.2,0
11,36,2016,Otros,1503,0.3,0
8,37,2016,Censo,308612,,
8,37,2016,Votantes,204615,66.3,
8,37,2016,Nulos,2132,,
8,37,2016,V&aacute;lidos,202483,,
8,37,2016,Blancos,1443,,
8,37,2016,Partido Popular (PP),97672,48.2,3
8,37,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),43252,21.4,1
8,37,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),31878,15.7,0
8,37,2016,Unidos Podemos (PODEMOS-IU-EQUO),25441,12.6,0
8,37,2016,Partido Animalista Contra el Maltrato Animal (PACMA),1359,0.7,0
8,37,2016,Uni&oacute;n Progreso y Democracia (UPyD),683,0.3,0
8,37,2016,Recortes Cero-Grupo Verde,326,0.2,0
8,37,2016,Otros,429,0.2,0
5,38,2016,Censo,833373,,
5,38,2016,Votantes,481925,57.8,
5,38,2016,Nulos,5259,,
5,38,2016,V&aacute;lidos,476666,,
5,38,2016,Blancos,2783,,
5,38,2016,Partido Popular (PP),163129,34.2,3
5,38,2016,Partido Socialista Obrero Espa&ntilde;ol-Nueva Canarias (PSOE-NCa),101120,21.2,1
5,38,2016,Unidos Podemos (PODEMOS-IU-EQUO),85178,17.9,1
5,38,2016,Coalici&oacute;n Canaria-Partido Nacionalista Canario (CCa-PNC),60271,12.6,1
5,38,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),52576,11,1
5,38,2016,Partido Animalista Contra el Maltrato Animal (PACMA),8243,1.7,0
5,38,2016,Recortes Cero-Grupo Verde,1417,0.3,0
5,38,2016,Otros,1949,0.4,0
6,39,2016,Censo,498203,,
6,39,2016,Votantes,341348,68.5,
6,39,2016,Nulos,3781,,
6,39,2016,V&aacute;lidos,337567,,
6,39,2016,Blancos,2454,,
6,39,2016,Partido Popular (PP),140252,41.5,2
6,39,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),79407,23.5,1
6,39,2016,Unidos Podemos (PODEMOS-IU-EQUO),59845,17.7,1
6,39,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),48626,14.4,1
6,39,2016,Partido Animalista Contra el Maltrato Animal (PACMA),3369,1,0
6,39,2016,Uni&oacute;n Progreso y Democracia (UPyD),1051,0.3,0
6,39,2016,Vox (VOX),713,0.2,0
6,39,2016,Recortes Cero-Grupo Verde,483,0.1,0
6,39,2016,Otros,1367,0.4,0
8,40,2016,Censo,120823,,
8,40,2016,Votantes,89662,74.2,
8,40,2016,Nulos,1137,,
8,40,2016,V&aacute;lidos,88525,,
8,40,2016,Blancos,615,,
8,40,2016,Partido Popular (PP),40172,45.4,2
8,40,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),19014,21.5,1
8,40,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),13595,15.4,0
8,40,2016,Unidos Podemos (PODEMOS-IU-EQUO),13440,15.2,0
8,40,2016,Partido Animalista Contra el Maltrato Animal (PACMA),612,0.7,0
8,40,2016,Uni&oacute;n Progreso y Democracia (UPyD),352,0.4,0
8,40,2016,Vox (VOX),277,0.3,0
8,40,2016,Recortes Cero-Grupo Verde,202,0.2,0
8,40,2016,Otros,246,0.3,0
1,41,2016,Censo,1531806,,
1,41,2016,Votantes,1044851,68.2,
1,41,2016,Nulos,11739,,
1,41,2016,V&aacute;lidos,1033112,,
1,41,2016,Blancos,9582,,
1,41,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),347470,33.6,4
1,41,2016,Partido Popular (PP),299884,29,4
1,41,2016,Unidos Podemos (PODEMOS-IU-EQUO),214663,20.8,3
1,41,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),138086,13.4,1
1,41,2016,Partido Animalista Contra el Maltrato Animal (PACMA),13389,1.3,0
1,41,2016,Uni&oacute;n Progreso y Democracia (UPyD),2712,0.3,0
1,41,2016,Vox (VOX),2146,0.2,0
1,41,2016,Recortes Cero-Grupo Verde,1950,0.2,0
1,41,2016,Otros,3230,0.3,0
8,42,2016,Censo,76814,,
8,42,2016,Votantes,50337,65.5,
8,42,2016,Nulos,719,,
8,42,2016,V&aacute;lidos,49618,,
8,42,2016,Blancos,600,,
8,42,2016,Partido Popular (PP),22264,44.9,1
8,42,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),12762,25.7,1
8,42,2016,Unidos Podemos (PODEMOS-IU-EQUO),7599,15.3,0
8,42,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),5679,11.4,0
8,42,2016,Partido Animalista Contra el Maltrato Animal (PACMA),260,0.5,0
8,42,2016,Uni&oacute;n Progreso y Democracia (UPyD),125,0.3,0
8,42,2016,Vox (VOX),119,0.2,0
8,42,2016,Recortes Cero-Grupo Verde,90,0.2,0
8,42,2016,Otros,120,0.2,0
9,43,2016,Censo,562990,,
9,43,2016,Votantes,347861,61.8,
9,43,2016,Nulos,3241,,
9,43,2016,V&aacute;lidos,344620,,
9,43,2016,Blancos,3060,,
9,43,2016,En Com&uacute; Podem (ECP),75328,21.9,1
9,43,2016,Esquerra Republicana de Catalunya-Catalunya S&iacute; (ERC-CATS&Iacute;),67759,19.7,1
9,43,2016,Partit dels Socialistes de Catalunya (PSC-PSOE),53967,15.7,1
9,43,2016,Partido Popular (PP),51241,14.9,1
9,43,2016,Converg&egrave;ncia Democr&agrave;tica de Catalunya (CDC),47226,13.7,1
9,43,2016,Ciutadans-Partido de la Ciudadan&iacute;a (C's),39082,11.3,1
9,43,2016,Partido Animalista Contra el Maltrato Animal (PACMA),5680,1.6,0
9,43,2016,Recortes Cero-Grupo Verde,853,0.2,0
9,43,2016,Otros,424,0.1,0
2,44,2016,Censo,109380,,
2,44,2016,Votantes,75932,69.4,
2,44,2016,Nulos,1010,,
2,44,2016,V&aacute;lidos,74922,,
2,44,2016,Blancos,704,,
2,44,2016,Partido Popular-Partido Aragon&eacute;s (PP-PAR),30913,41.3,2
2,44,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),19724,26.3,1
2,44,2016,Unidos Podemos (PODEMOS-IU-EQUO),12558,16.8,0
2,44,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),9871,13.2,0
2,44,2016,Partido Animalista Contra el Maltrato Animal (PACMA),402,0.5,0
2,44,2016,Recortes Cero-Grupo Verde,125,0.2,0
2,44,2016,Otros,625,0.8,0
7,45,2016,Censo,518206,,
7,45,2016,Votantes,371866,71.8,
7,45,2016,Nulos,4363,,
7,45,2016,V&aacute;lidos,367503,,
7,45,2016,Blancos,1974,,
7,45,2016,Partido Popular (PP),159521,43.4,3
7,45,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),97733,26.6,2
7,45,2016,Unidos Podemos (PODEMOS-IU-EQUO),53994,14.7,1
7,45,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),47705,13,0
7,45,2016,Partido Animalista Contra el Maltrato Animal (PACMA),3386,0.9,0
7,45,2016,Vox (VOX),1013,0.3,0
7,45,2016,Uni&oacute;n Progreso y Democracia (UPyD),695,0.2,0
7,45,2016,Recortes Cero-Grupo Verde,564,0.2,0
7,45,2016,Otros,918,0.2,0
17,46,2016,Censo,1946046,,
17,46,2016,Votantes,1431843,73.6,
17,46,2016,Nulos,12322,,
17,46,2016,V&aacute;lidos,1419521,,
17,46,2016,Blancos,8508,,
17,46,2016,Partido Popular (PP),482855,34,6
17,46,2016,Comprom&iacute;s-Podemos-EUPV (PODEMOS-COMPROM&Iacute;S-EUPV),394227,27.8,5
17,46,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),285732,20.1,3
17,46,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),205489,14.5,2
17,46,2016,Partido Animalista Contra el Maltrato Animal (PACMA),18994,1.3,0
17,46,2016,Vox (VOX),3381,0.2,0
17,46,2016,Uni&oacute;n Progreso y Democracia (UPyD),2962,0.2,0
17,46,2016,Recortes Cero-Grupo Verde,2944,0.2,0
17,46,2016,Otros,14429,1,0
8,47,2016,Censo,433056,,
8,47,2016,Votantes,319280,73.7,
8,47,2016,Nulos,3512,,
8,47,2016,V&aacute;lidos,315768,,
8,47,2016,Blancos,2234,,
8,47,2016,Partido Popular (PP),132026,41.8,2
8,47,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),71780,22.7,1
8,47,2016,Unidos Podemos (PODEMOS-IU-EQUO),51637,16.4,1
8,47,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),49283,15.6,1
8,47,2016,Partido Animalista Contra el Maltrato Animal (PACMA),2225,0.7,0
8,47,2016,Vox (VOX),1078,0.3,0
8,47,2016,Uni&oacute;n Progreso y Democracia (UPyD),1068,0.3,0
8,47,2016,Recortes Cero-Grupo Verde,524,0.2,0
8,47,2016,Otros,3913,1.2,0
14,48,2016,Censo,948080,,
14,48,2016,Votantes,625444,66,
14,48,2016,Nulos,4225,,
14,48,2016,V&aacute;lidos,621219,,
14,48,2016,Blancos,3907,,
14,48,2016,Unidos Podemos/Elkarrekin Ahal Dugu (PODEMOS/AHAL DUGU-IU-EQUO),179347,28.9,3
14,48,2016,Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV),175296,28.2,2
14,48,2016,Partido Socialista de Euskadi-Euskadiko Ezkerra (PSE-EE/PSOE),86425,13.9,1
14,48,2016,Partido Popular (PP),78965,12.7,1
14,48,2016,Euskal Herria Bildu (EH Bildu),67653,10.9,1
14,48,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),20685,3.3,0
14,48,2016,Partido Animalista Contra el Maltrato Animal (PACMA),4865,0.8,0
14,48,2016,Recortes Cero-Grupo Verde,1176,0.2,0
14,48,2016,Uni&oacute;n Progreso y Democracia (UPyD),766,0.1,0
14,48,2016,Vox (VOX),641,0.1,0
14,48,2016,Otros,1493,0.2,0
8,49,2016,Censo,173320,,
8,49,2016,Votantes,110339,63.7,
8,49,2016,Nulos,1446,,
8,49,2016,V&aacute;lidos,108893,,
8,49,2016,Blancos,1010,,
8,49,2016,Partido Popular (PP),52555,48.3,2
8,49,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),26045,23.9,1
8,49,2016,Unidos Podemos (PODEMOS-IU-EQUO),15403,14.1,0
8,49,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),12423,11.4,0
8,49,2016,Partido Animalista Contra el Maltrato Animal (PACMA),537,0.5,0
8,49,2016,Uni&oacute;n Progreso y Democracia (UPyD),256,0.2,0
8,49,2016,Recortes Cero-Grupo Verde,174,0.2,0
8,49,2016,Otros,490,0.4,0
2,50,2016,Censo,734064,,
2,50,2016,Votantes,517144,70.4,
2,50,2016,Nulos,4009,,
2,50,2016,V&aacute;lidos,513135,,
2,50,2016,Blancos,4124,,
2,50,2016,Partido Popular-Partido Aragon&eacute;s (PP-PAR),179211,34.9,3
2,50,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),125321,24.4,2
2,50,2016,Unidos Podemos (PODEMOS-IU-EQUO),104199,20.3,1
2,50,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),86434,16.8,1
2,50,2016,Partido Animalista Contra el Maltrato Animal (PACMA),5025,1,0
2,50,2016,Vox (VOX),1614,0.3,0
2,50,2016,Uni&oacute;n Progreso y Democracia (UPyD),1395,0.3,0
2,50,2016,Recortes Cero-Grupo Verde,1137,0.2,0
2,50,2016,Otros,4675,0.9,0
18,51,2016,Censo,61587,,
18,51,2016,Votantes,31194,50.7,
18,51,2016,Nulos,357,,
18,51,2016,V&aacute;lidos,30837,,
18,51,2016,Blancos,316,,
18,51,2016,Partido Popular (PP),15991,51.9,1
18,51,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),6974,22.6,0
18,51,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),3549,11.5,0
18,51,2016,Unidos Podemos (PODEMOS-IU-EQUO),3345,10.8,0
18,51,2016,Partido Animalista Contra el Maltrato Animal (PACMA),333,1.1,0
18,51,2016,Vox (VOX),139,0.5,0
18,51,2016,Recortes Cero-Grupo Verde,118,0.4,0
18,51,2016,Uni&oacute;n Progreso y Democracia (UPyD),72,0.2,0
19,52,2016,Censo,57795,,
19,52,2016,Votantes,27483,47.6,
19,52,2016,Nulos,362,,
19,52,2016,V&aacute;lidos,27121,,
19,52,2016,Blancos,268,,
19,52,2016,Partido Popular (PP),13522,49.9,1
19,52,2016,Partido Socialista Obrero Espa&ntilde;ol (PSOE),6805,25.1,0
19,52,2016,Ciudadanos-Partido de la Ciudadan&iacute;a (C's),3352,12.4,0
19,52,2016,Unidos Podemos (UNIDOS PODEMOS),2667,9.8,0
19,52,2016,Partido Animalista Contra el Maltrato Animal (PACMA),317,1.2,0
19,52,2016,Uni&oacute;n Progreso y Democracia (UPyD),146,0.5,0
19,52,2016,Recortes Cero-Grupo Verde,44,0.2,0
